"timestamp","nbPassengers","age","passengerType","bookingStatus","operatingAirline","originAirport","destinationAirport","departureDate","arrivalDate"
"2019-03-17T13:48:05.104Z","WrappedArray(1)","WrappedArray(49)","WrappedArray(ADT)","WrappedArray(CONFIRMED)","WrappedArray(AF)","WrappedArray(DTW)","WrappedArray(CDG)","WrappedArray(2019-03-17T22:05:00Z)","WrappedArray(2019-03-18T10:45:00Z)"
"2019-03-17T13:48:05.188Z","WrappedArray(2, 2)","WrappedArray(null, null)","WrappedArray(ADT, ADT)","WrappedArray(CONFIRMED, CONFIRMED)","WrappedArray(DL, KL)","WrappedArray(AMS, ATH)","WrappedArray(DTW, AMS)","WrappedArray(2019-04-16T09:20:00Z, 2019-04-16T06:00:00Z)","WrappedArray(2019-04-16T11:50:00Z, 2019-04-16T08:30:00Z)"
"2019-03-17T13:48:05.485Z","WrappedArray(1, 1, 1, 1)","WrappedArray(null)","WrappedArray(ADT)","WrappedArray(CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED)","WrappedArray(DL, AF, KL, AF)","WrappedArray(LAX, BRE, AMS, CDG)","WrappedArray(AMS, CDG, BRE, LAX)","WrappedArray(2019-03-17T13:21:00Z, 2019-04-09T10:30:00Z, 2019-03-18T09:35:00Z, 2019-04-09T13:25:00Z)","WrappedArray(2019-03-18T08:30:00Z, 2019-04-09T11:55:00Z, 2019-03-18T10:30:00Z, 2019-04-09T16:10:00Z)"
"2019-03-17T13:48:05.748Z","WrappedArray(1, 1, 1, 1, 1)","WrappedArray(null)","WrappedArray(ADT)","WrappedArray(CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED)","WrappedArray(KQ, KQ, KQ, KQ, KQ)","WrappedArray(EBB, NBO, NBO, NBO, CAN)","WrappedArray(NBO, EBB, KIS, CAN, NBO)","WrappedArray(2019-03-27T20:30:00Z, 2019-03-27T11:30:00Z, 2019-04-06T09:25:00Z, 2019-03-27T23:59:00Z, 2019-04-05T22:10:00Z)","WrappedArray(2019-03-27T21:40:00Z, 2019-03-27T12:45:00Z, 2019-04-06T10:15:00Z, 2019-03-28T18:35:00Z, 2019-04-06T06:10:00Z)"
"2019-03-17T13:48:05.799Z","WrappedArray(1)","WrappedArray(60)","WrappedArray(ADT)","WrappedArray(SEAT_AVAILABLE)","WrappedArray(AF)","WrappedArray(CDG)","WrappedArray(BKO)","WrappedArray(2019-03-20T09:55:00Z)","WrappedArray(2019-03-20T14:35:00Z)"
"2019-03-17T13:48:05.989Z","WrappedArray(3, 3, 3, 3, 3)","WrappedArray(49, 16, 49)","WrappedArray(ADT, ADT, ADT)","WrappedArray(CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED)","WrappedArray(KL, DL, AF, AF, KL)","WrappedArray(HAM, TPA, JFK, CDG, AMS)","WrappedArray(AMS, JFK, CDG, HAM, ATL)","WrappedArray(2019-04-03T12:35:00Z, 2019-04-15T12:10:00Z, 2019-04-16T16:25:00Z, 2019-04-17T08:15:00Z, 2019-04-03T17:00:00Z)","WrappedArray(2019-04-03T13:40:00Z, 2019-04-15T14:52:00Z, 2019-04-17T05:50:00Z, 2019-04-17T09:45:00Z, 2019-04-03T20:25:00Z)"
"2019-03-17T13:48:06.103Z","WrappedArray(2, 2)","WrappedArray(null, null)","WrappedArray(ADT, ADT)","WrappedArray(CONFIRMED, CONFIRMED)","WrappedArray(KL, KL)","WrappedArray(MUC, AMS)","WrappedArray(AMS, MUC)","WrappedArray(2019-08-04T20:50:00Z, 2019-08-07T21:00:00Z)","WrappedArray(2019-08-04T22:20:00Z, 2019-08-07T22:25:00Z)"
"2019-03-17T13:48:06.304Z","WrappedArray(1, 1, 1, 1)","WrappedArray(37)","WrappedArray(ADT)","WrappedArray(CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED)","WrappedArray(AF, AF, AF, AF)","WrappedArray(ORN, CDG, CDG, JFK)","WrappedArray(CDG, JFK, ORN, CDG)","WrappedArray(2019-03-27T14:25:00Z, 2019-03-27T18:10:00Z, 2019-04-12T13:25:00Z, 2019-04-11T21:55:00Z)","WrappedArray(2019-03-27T17:05:00Z, 2019-03-27T21:50:00Z, 2019-04-12T14:55:00Z, 2019-04-12T11:20:00Z)"
"2019-03-17T13:48:06.91Z","WrappedArray(11, 11, 11, 11)","WrappedArray(40, 29, 53, 54, 44, 53, 51, 60, 46, 76, 35)","WrappedArray(ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT)","WrappedArray(CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED)","WrappedArray(KL, KL, KL, KL)","WrappedArray(LIS, GLA, AMS, AMS)","WrappedArray(AMS, AMS, LIS, GLA)","WrappedArray(2019-03-17T15:25:00Z, 2019-03-27T09:00:00Z, 2019-03-27T12:40:00Z, 2019-03-17T21:25:00Z)","WrappedArray(2019-03-17T19:35:00Z, 2019-03-27T11:40:00Z, 2019-03-27T14:35:00Z, 2019-03-17T22:00:00Z)"
"2019-03-17T13:48:07.12Z","WrappedArray(5)","WrappedArray(46, 18, 10, 13, 20)","WrappedArray(ADT, ADT, CHD, ADT, ADT)","WrappedArray(CONFIRMED)","WrappedArray(AF)","WrappedArray(NCL)","WrappedArray(CDG)","WrappedArray(2019-07-05T17:05:00Z)","WrappedArray(2019-07-05T19:55:00Z)"
