"nbPassengers0","nbPassengers1","bookingStatus0","bookingStatus1","operatingAirline0","operatingAirline1","originAirport0","originAirport1","departureDate0","departureDate1","arrivalDate0","arrivalDate1","destinationAirport0","destinationAirport1"
1,"","CONFIRMED","","A5","","RNS","","2019-04-20T07:00:00Z","","2019-04-20T08:40:00Z","","NCE",""
1,1,"CONFIRMED","CONFIRMED","AF","AF","CDG","ABJ","2019-07-15T19:05:00Z","2019-07-29T22:30:00Z","2019-07-15T23:20:00Z","2019-07-30T06:55:00Z","ABJ","CDG"
2,2,"CONFIRMED","CONFIRMED","AF","AF","MUC","CDG","2019-05-13T20:35:00Z","2019-05-09T07:10:00Z","2019-05-13T22:15:00Z","2019-05-09T08:40:00Z","CDG","MUC"
2,2,"CONFIRMED","CONFIRMED","KL","DL","AMS","IAH","2019-04-03T09:50:00Z","2019-03-17T19:56:00Z","2019-04-03T13:05:00Z","2019-03-18T15:35:00Z","IAH","LOS"
4,4,"CONFIRMED","CONFIRMED","KL","DL","JFK","DEN","2019-08-23T18:30:00Z","2019-08-19T10:51:00Z","2019-08-24T07:50:00Z","2019-08-19T17:00:00Z","AMS","JFK"
1,1,"CONFIRMED","CONFIRMED","KQ","KQ","JNB","NBO","2019-03-17T17:25:00Z","2019-03-17T23:30:00Z","2019-03-17T22:30:00Z","2019-03-18T05:45:00Z","NBO","DXB"
2,"","CONFIRMED","","AF","","CDG","","2019-04-12T17:05:00Z","","2019-04-12T19:10:00Z","","FCO",""
3,3,"CONFIRMED","CONFIRMED","KQ","KQ","FNA","NBO","2019-03-17T17:10:00Z","2019-03-18T07:00:00Z","2019-03-18T05:35:00Z","2019-03-18T15:45:00Z","NBO","BOM"
2,2,"CONFIRMED","CONFIRMED","KL","AF","AMS","CDG","2019-09-03T12:35:00Z","2019-09-03T07:10:00Z","2019-09-03T14:15:00Z","2019-09-03T08:30:00Z","LAS","AMS"
1,1,"CONFIRMED","CONFIRMED","9W","KL","AMS","AMS","2019-05-20T11:25:00Z","2019-06-04T13:50:00Z","2019-05-21T00:05:00Z","2019-06-04T16:25:00Z","BOM","MAD"
2,2,"CONFIRMED","CONFIRMED","AF","AF","DEL","CDG","2019-03-18T02:05:00Z","2019-03-18T13:20:00Z","2019-03-18T09:05:00Z","2019-03-18T16:55:00Z","CDG","JFK"
2,2,"CONFIRMED","CONFIRMED","ME","AF","CDG","CDG","2019-07-08T10:00:00Z","2019-07-20T08:00:00Z","2019-07-08T15:15:00Z","2019-07-20T10:15:00Z","BEY","JFK"
2,2,"CONFIRMED","CONFIRMED","AF","AF","HND","EDI","2019-05-17T14:20:00Z","2019-04-29T17:05:00Z","2019-05-17T19:45:00Z","2019-04-29T20:00:00Z","CDG","CDG"
