"nbPassengers","operatingAirline","bookingStatus","originAirport","destinationAirport","departureDate","arrivalDate"
1,"af","unaccepted","icn","cdg","2019-06-12T14:40:00Z","2019-06-12T19:35:00Z"
2,"kl","confirmed","ams","gru","2019-04-08T10:10:00Z","2019-04-08T17:10:00Z"
2,"g3","confirmed","gru","vix","2019-04-08T20:55:00Z","2019-04-08T22:20:00Z"
2,"me","confirmed","cdg","bey","2019-07-08T10:00:00Z","2019-07-08T15:15:00Z"
2,"af","confirmed","cdg","jfk","2019-07-20T08:00:00Z","2019-07-20T10:15:00Z"
2,"a5","confirmed","tls","rns","2019-04-23T17:15:00Z","2019-04-23T18:30:00Z"
2,"a5","confirmed","rns","tls","2019-04-30T15:30:00Z","2019-04-30T16:40:00Z"
28,"kl","confirmed","sfo","ams","2019-04-03T13:55:00Z","2019-04-04T09:15:00Z"
28,"kl","confirmed","ams","lax","2019-03-18T09:55:00Z","2019-03-18T12:55:00Z"
3,"af","confirmed","cdg","opo","2019-03-28T14:10:00Z","2019-03-28T15:25:00Z"
3,"af","confirmed","opo","cdg","2019-04-25T15:50:00Z","2019-04-25T19:05:00Z"
2,"dl","confirmed","iah","los","2019-03-17T19:56:00Z","2019-03-18T15:35:00Z"
2,"kl","confirmed","ams","iah","2019-04-03T09:50:00Z","2019-04-03T13:05:00Z"
1,"to","confirmed","ory","tng","2019-03-24T06:35:00Z","2019-03-24T09:20:00Z"
"","","","","","",""
1,"af","confirmed","del","cdg","2019-06-25T00:10:00Z","2019-06-25T06:00:00Z"
1,"af","confirmed","cdg","mia","2019-06-25T13:40:00Z","2019-06-25T17:10:00Z"
1,"af","confirmed","jfk","cdg","2019-03-16T17:35:00Z","2019-03-17T05:50:00Z"
1,"af","confirmed","cdg","nsi","2019-03-17T13:00:00Z","2019-03-17T19:30:00Z"
2,"af","confirmed","ory","bod","2019-05-15T16:50:00Z","2019-05-15T18:00:00Z"
2,"af","confirmed","bod","ory","2019-04-16T08:10:00Z","2019-04-16T09:25:00Z"
2,"af","confirmed","hnd","cdg","2019-05-17T14:20:00Z","2019-05-17T19:45:00Z"
2,"af","confirmed","edi","cdg","2019-04-29T17:05:00Z","2019-04-29T20:00:00Z"
2,"kl","confirmed","bud","ams","2019-10-27T17:05:00Z","2019-10-27T19:15:00Z"
2,"kl","confirmed","ams","bud","2019-10-24T11:20:00Z","2019-10-24T13:15:00Z"
8,"af","confirmed","cdg","cmn","2019-03-17T15:10:00Z","2019-03-17T18:15:00Z"
8,"af","confirmed","cmn","cdg","2019-03-22T16:30:00Z","2019-03-22T19:45:00Z"
2,"kl","confirmed","ams","sfo","2019-05-17T09:50:00Z","2019-05-17T11:45:00Z"
2,"dl","confirmed","dtw","muc","2019-06-08T17:52:00Z","2019-06-09T08:25:00Z"
2,"cz","confirmed","ams","pek","2019-06-15T00:00:00Z","2019-06-15T00:00:00Z"
